2026-09-21T22:57:22Z INFO Logging to /tmp/logs/update_2026-09-21T22-57-22Z.log.
2026-09-21T22:57:22Z INFO Update valid-nwb-file-to-out-degrees (base directory /tmp).
2026-09-21T22:57:22Z INFO Processing 500 items (51499 already recorded).
2026-09-21T22:57:24Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-21T22:57:24Z WARNING [1/500] 024ef50f-ac6f-49ea-806b-93ef4b5e8644: leaving unrecorded for a later run to retry.
2026-09-21T22:57:25Z WARNING 09073220-fbea-45d2-9a39-2cc61fcdc2a1: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-21T22:57:25Z WARNING [2/500] 09073220-fbea-45d2-9a39-2cc61fcdc2a1: leaving unrecorded for a later run to retry.
2026-09-21T23:02:23Z INFO [122/500] 0b952897-2fd4-4b59-bcc7-0f9d856509f7: 17 internal nodes; 1.0 s; peak memory 213 MiB.
2026-09-21T23:02:24Z INFO [123/500] 0b9574d6-9651-4514-9b38-51dc90b9618b: 17 internal nodes; 1.0 s; peak memory 213 MiB.
2026-09-21T23:02:31Z INFO [124/500] 0b95f825-360a-410d-a65c-f5537e332122: 140 internal nodes; 7.0 s; peak memory 213 MiB.
2026-09-21T23:02:32Z INFO [125/500] 0b964b35-dbf7-4dc1-8edb-3cfa7e20a4ef: 17 internal nodes; 1.0 s; peak memory 213 MiB.
2026-09-21T23:03:09Z INFO [126/500] 0b9783fc-5bef-4281-a37e-f59afadfb074: 1969 internal nodes; 37.6 s; peak memory 240 MiB.
2026-09-21T23:03:11Z INFO [127/500] 0b98682f-5d50-43de-ad6a-7351858a867e: 31 internal nodes; 1.6 s; peak memory 240 MiB.
2026-09-21T23:03:12Z INFO [128/500] 0b98cfe5-0a4c-429b-b9b3-e49cc58ba18b: 27 internal nodes; 1.2 s; peak memory 240 MiB.
2026-09-21T23:03:18Z INFO [129/500] 0b98d36a-8182-4809-ae7d-841332b08161: 61 internal nodes; 6.2 s; peak memory 240 MiB.
2026-09-21T23:03:20Z INFO [130/500] 0b9a0062-8919-423a-ae32-8b54a772f03a: 32 internal nodes; 1.7 s; peak memory 240 MiB.
2026-09-21T23:03:22Z INFO [131/500] 0b9a214b-a75a-4839-83ac-e57a1f7633e1: 31 internal nodes; 1.9 s; peak memory 240 MiB.
2026-09-21T23:03:23Z INFO [132/500] 0b9a2873-9c81-4705-bfe9-d58a920e5fa5: 60 internal nodes; 1.4 s; peak memory 240 MiB.
