2026-09-19T12:11:45Z INFO Logging to /tmp/logs/update_2026-09-19T12-11-45Z.log.
2026-09-19T12:11:45Z INFO Update valid-nwb-file-to-out-degrees (base directory /tmp).
2026-09-19T12:11:45Z INFO Processing 500 items (49007 already recorded).
2026-09-19T12:11:46Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-19T12:14:17Z INFO [146/500] 066333ef-182a-43fa-81fb-88e3b616d707: 11 internal nodes; 0.3 s; peak memory 146 MiB.
2026-09-19T12:14:17Z INFO [147/500] 06639d76-dba2-41b8-960e-a7f021ec0264: 17 internal nodes; 0.3 s; peak memory 146 MiB.
2026-09-19T12:14:18Z INFO [148/500] 0664090e-391b-4336-8e54-6cd92ca0346c: 44 internal nodes; 1.2 s; peak memory 146 MiB.
2026-09-19T12:14:19Z INFO [149/500] 0664def5-43fb-4126-81ef-eb5ac37952d4: 115 internal nodes; 0.6 s; peak memory 146 MiB.
2026-09-19T12:14:19Z INFO [150/500] 0665065c-e427-442e-a315-42233a9d6984: 27 internal nodes; 0.6 s; peak memory 146 MiB.
2026-09-19T12:14:20Z INFO [150/500] 0665065c-e427-442e-a315-42233a9d6984: checkpointed 49156 records.
2026-09-19T12:14:20Z INFO [151/500] 06651b7f-133b-43aa-b4ff-c8ccd271b49a: 61 internal nodes; 0.7 s; peak memory 146 MiB.
2026-09-19T12:14:24Z INFO [152/500] 0665772e-6147-4057-85be-8caf934b2975: 206 internal nodes; 3.9 s; peak memory 147 MiB.
2026-09-19T12:14:25Z INFO [153/500] 0666c67b-5338-44f1-a199-0f9fe1341f43: 11 internal nodes; 0.5 s; peak memory 147 MiB.
2026-09-19T12:14:25Z INFO [154/500] 0666f5c2-5991-4cf5-afca-cc7131fd81af: 11 internal nodes; 0.4 s; peak memory 147 MiB.
2026-09-19T12:14:26Z INFO [155/500] 0668b06a-e095-41aa-9a5d-634035f9be47: 27 internal nodes; 0.6 s; peak memory 147 MiB.
2026-09-19T12:14:26Z INFO [156/500] 06696c11-d9c4-4b98-b994-1e0cc198140d: 31 internal nodes; 0.8 s; peak memory 147 MiB.
2026-09-19T12:14:27Z INFO [157/500] 0669daa2-eefb-4ffc-9e52-37fea0a92681: 27 internal nodes; 0.5 s; peak memory 147 MiB.
2026-09-19T12:14:28Z INFO [158/500] 066a734a-f816-4392-aedf-414b4cc0996f: 52 internal nodes; 1.2 s; peak memory 147 MiB.
2026-09-19T12:14:29Z INFO [159/500] 066ae256-4ec2-4da4-a5f2-c8e106beadcd: 30 internal nodes; 0.6 s; peak memory 147 MiB.
2026-09-19T12:14:29Z INFO [160/500] 066b83e3-abd2-4e8a-92d1-b8852b924095: 13 internal nodes; 0.3 s; peak memory 147 MiB.
2026-09-19T12:14:33Z INFO [161/500] 066b97ad-c2df-44a8-a5aa-97b88f3f4170: 141 internal nodes; 3.6 s; peak memory 147 MiB.
2026-09-19T12:14:33Z INFO [162/500] 066ba34d-a0bd-4f6d-90de-1b9decfe64a9: 36 internal nodes; 0.7 s; peak memory 147 MiB.
2026-09-19T12:14:34Z INFO [163/500] 066bfd6e-57ae-4fa2-9672-9101c374df6c: 61 internal nodes; 0.8 s; peak memory 147 MiB.
